,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,25739,49315,0,21349,2227,420100,湖北省
1,孝感,1001,3518,0,2397,120,420900,湖北省
2,黄冈,529,2905,0,2260,116,421100,湖北省
3,鄂州,529,1391,0,814,48,420700,湖北省
4,荆州,436,1580,0,1096,48,421000,湖北省
5,随州,402,1307,0,865,40,421300,湖北省
6,宜昌,364,931,0,536,31,420500,湖北省
7,荆门,266,927,0,622,39,420800,湖北省
8,襄阳,256,1175,0,885,34,420600,湖北省
9,黄石,243,1014,0,736,35,420200,湖北省
10,十堰,206,672,0,459,7,420300,湖北省
11,仙桃,95,575,0,461,19,429004,湖北省
12,咸宁,89,836,0,735,12,421200,湖北省
13,天门,89,496,0,393,14,429006,湖北省
14,潜江,67,198,0,122,9,429005,湖北省
15,恩施州,55,252,0,193,4,422800,湖北省
16,神农架林区,0,11,0,11,0,429021,湖北省
17,济宁,214,260,0,46,0,370800,山东省
18,德州,17,37,0,18,2,371400,山东省
19,济南,15,47,0,32,0,370100,山东省
20,烟台,14,47,0,33,0,370600,山东省
21,潍坊,13,44,0,31,0,370700,山东省
22,淄博,8,30,0,21,1,370300,山东省
23,威海,4,38,0,34,0,371000,山东省
24,临沂,2,49,0,47,0,371300,山东省
25,滨州,2,15,0,13,0,371600,山东省
26,青岛,1,60,0,58,1,370200,山东省
27,枣庄,1,24,0,23,0,370400,山东省
28,日照,1,16,0,15,0,371100,山东省
29,聊城,0,38,0,38,0,371500,山东省
30,泰安,0,35,0,33,2,370900,山东省
31,菏泽,0,18,0,18,0,371700,山东省
32,深圳,95,418,0,320,3,440300,广东省
33,广州,81,346,0,264,1,440100,广东省
34,佛山,25,84,0,59,0,440600,广东省
35,东莞,24,99,0,74,1,441900,广东省
36,珠海,17,98,0,80,1,440400,广东省
37,江门,10,23,0,13,0,440700,广东省
38,中山,7,66,0,59,0,442000,广东省
39,梅州,4,16,0,12,0,441400,广东省
40,茂名,4,14,0,10,0,440900,广东省
41,汕头,3,25,0,22,0,440500,广东省
42,湛江,3,22,0,19,0,440800,广东省
43,肇庆,3,19,0,15,1,441200,广东省
44,阳江,3,14,0,11,0,441700,广东省
45,惠州,2,62,0,60,0,441300,广东省
46,揭阳,2,8,0,6,0,445200,广东省
47,韶关,1,10,0,9,0,440200,广东省
48,清远,0,12,0,12,0,441800,广东省
49,汕尾,0,5,0,5,0,441500,广东省
50,潮州,0,5,0,5,0,445100,广东省
