,cityName,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,3215,0,106,192,420100,湖北省
1,黄冈,726,0,17,14,421100,湖北省
2,孝感,628,0,2,12,420900,湖北省
3,襄阳,347,0,0,0,420600,湖北省
4,随州,304,0,0,1,421300,湖北省
5,荆州,287,0,2,4,421000,湖北省
6,宜昌,276,0,0,1,420500,湖北省
7,荆门,251,0,1,5,420800,湖北省
8,鄂州,227,0,0,9,420700,湖北省
9,黄石,209,0,1,2,420200,湖北省
10,咸宁,206,0,1,0,421200,湖北省
11,十堰,177,0,0,0,420300,湖北省
12,仙桃,97,0,0,1,429004,湖北省
13,恩施州,87,0,1,0,422800,湖北省
14,天门,82,0,0,7,429006,湖北省
15,潜江,27,0,0,1,429005,湖北省
16,神农架林区,7,0,2,0,429021,湖北省
17,温州,241,0,8,0,330300,浙江省
18,杭州,98,0,3,0,330100,浙江省
19,台州,95,0,4,0,331000,浙江省
20,宁波,55,0,1,0,330200,浙江省
21,金华,34,0,3,0,330700,浙江省
22,绍兴,24,0,0,0,330600,浙江省
23,嘉兴,18,0,0,0,330400,浙江省
24,衢州,13,0,0,0,330800,浙江省
25,丽水,8,0,1,0,331100,浙江省
26,舟山,7,0,1,0,330900,浙江省
27,湖州,6,0,0,0,330500,浙江省
28,深圳,170,0,5,0,440300,广东省
29,广州,150,0,3,0,440100,广东省
30,佛山,39,0,1,0,440600,广东省
31,珠海,38,0,1,0,440400,广东省
32,东莞,21,0,0,0,441900,广东省
33,惠州,20,0,1,0,441300,广东省
34,中山,18,0,0,0,442000,广东省
35,汕头,14,0,0,0,440500,广东省
36,湛江,13,0,1,0,440800,广东省
37,阳江,10,0,0,0,441700,广东省
38,肇庆,6,0,1,0,441200,广东省
39,清远,6,0,1,0,441800,广东省
40,揭阳,6,0,0,0,445200,广东省
41,梅州,6,0,0,0,441400,广东省
42,韶关,4,0,0,0,440200,广东省
43,汕尾,4,0,0,0,441500,广东省
44,茂名,3,0,0,0,440900,广东省
45,江门,3,0,0,0,440700,广东省
46,潮州,3,0,0,0,445100,广东省
47,河源,1,0,0,0,441600,广东省
48,信阳,70,0,0,0,411500,河南省
49,南阳,66,0,0,2,411300,河南省
