,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,16572,49948,0,30987,2389,420100,湖北省
1,孝感,335,3518,0,3057,126,420900,湖北省
2,鄂州,310,1394,0,1030,54,420700,湖北省
3,随州,159,1307,0,1104,44,421300,湖北省
4,宜昌,144,931,0,753,34,420500,湖北省
5,黄冈,141,2907,0,2641,125,421100,湖北省
6,荆门,122,928,0,767,39,420800,湖北省
7,荆州,120,1580,0,1411,49,421000,湖北省
8,黄石,81,1015,0,897,37,420200,湖北省
9,十堰,76,672,0,588,8,420300,湖北省
10,襄阳,73,1175,0,1064,38,420600,湖北省
11,仙桃,48,575,0,506,21,429004,湖北省
12,天门,20,496,0,461,15,429006,湖北省
13,潜江,17,198,0,172,9,429005,湖北省
14,咸宁,16,836,0,806,14,421200,湖北省
15,恩施州,13,252,0,233,6,422800,湖北省
16,神农架林区,0,11,0,11,0,429021,湖北省
17,朝阳区,72,72,0,0,0,110105,北京市
18,海淀区,63,63,0,0,0,110108,北京市
19,西城区,53,53,0,0,0,110102,北京市
20,丰台区,40,43,0,3,0,110106,北京市
21,大兴区,23,39,0,16,0,110115,北京市
22,外地来京人员,23,25,0,2,0,-1,北京市
23,昌平区,19,29,0,10,0,110114,北京市
24,通州区,18,19,0,1,0,110112,北京市
25,房山区,13,16,0,3,0,110111,北京市
26,石景山区,13,14,0,1,0,110107,北京市
27,东城区,13,14,0,1,0,110101,北京市
28,境外输入人员,13,13,0,0,0,0,北京市
29,顺义区,10,10,0,0,0,110113,北京市
30,怀柔区,7,7,0,0,0,110116,北京市
31,密云区,7,7,0,0,0,110118,北京市
32,门头沟区,1,3,0,2,0,110109,北京市
33,延庆区,1,1,0,0,0,110119,北京市
34,待明确地区,-284,0,0,276,8,0,北京市
35,深圳,43,419,0,373,3,440300,广东省
36,广州,24,347,0,322,1,440100,广东省
37,佛山,7,84,0,77,0,440600,广东省
38,中山,4,66,0,62,0,442000,广东省
39,东莞,2,99,0,96,1,441900,广东省
40,珠海,2,98,0,95,1,440400,广东省
41,汕头,1,25,0,24,0,440500,广东省
42,梅州,1,16,0,15,0,441400,广东省
43,惠州,0,62,0,62,0,441300,广东省
44,江门,0,23,0,23,0,440700,广东省
45,湛江,0,22,0,22,0,440800,广东省
46,肇庆,0,19,0,18,1,441200,广东省
47,阳江,0,14,0,14,0,441700,广东省
48,茂名,0,14,0,14,0,440900,广东省
49,清远,0,12,0,12,0,441800,广东省
50,韶关,0,10,0,9,1,440200,广东省
51,揭阳,0,8,0,8,0,445200,广东省
52,汕尾,0,5,0,5,0,441500,广东省
53,潮州,0,5,0,5,0,445100,广东省
54,河源,0,4,0,4,0,441600,广东省
55,成都,39,144,0,102,3,510100,四川省
56,甘孜州,7,78,0,71,0,513300,四川省
57,巴中,4,24,0,20,0,511900,四川省
58,绵阳,4,22,0,18,0,510700,四川省
59,达州,3,42,0,39,0,511700,四川省
60,南充,3,39,0,36,0,511300,四川省
61,广安,3,30,0,27,0,511600,四川省
62,遂宁,2,17,0,15,0,510900,四川省
63,内江,1,22,0,21,0,511000,四川省
64,宜宾,1,12,0,11,0,511500,四川省
65,眉山,1,8,0,7,0,511400,四川省
66,雅安,1,7,0,6,0,511800,四川省
67,资阳,1,4,0,3,0,512000,四川省
68,泸州,0,24,0,24,0,510500,四川省
69,德阳,0,18,0,18,0,510600,四川省
70,攀枝花,0,16,0,16,0,510400,四川省
71,凉山州,0,13,0,13,0,513400,四川省
72,自贡,0,9,0,9,0,510300,四川省
73,广元,0,6,0,6,0,510800,四川省
74,乐山,0,3,0,3,0,511100,四川省
75,阿坝州,0,1,0,1,0,513200,四川省
76,济宁,31,260,0,229,0,370800,山东省
77,烟台,4,47,0,43,0,370600,山东省
78,德州,4,37,0,31,2,371400,山东省
79,淄博,4,30,0,25,1,370300,山东省
80,济南,3,47,0,44,0,370100,山东省
81,威海,3,38,0,35,0,371000,山东省
82,青岛,1,60,0,58,1,370200,山东省
83,临沂,1,49,0,48,0,371300,山东省
84,日照,1,16,0,15,0,371100,山东省
85,潍坊,0,44,0,44,0,370700,山东省
86,聊城,0,38,0,38,0,371500,山东省
87,泰安,0,35,0,33,2,370900,山东省
88,枣庄,0,24,0,24,0,370400,山东省
89,菏泽,0,18,0,18,0,371700,山东省
90,滨州,0,15,0,15,0,371600,山东省
91,温州,10,504,0,493,1,330300,浙江省
92,丽水,8,25,0,17,0,331100,浙江省
93,台州,7,146,0,139,0,331000,浙江省
94,杭州,3,169,0,166,0,330100,浙江省
95,绍兴,3,42,0,39,0,330600,浙江省
96,嘉兴,2,45,0,43,0,330400,浙江省
97,省十里丰监狱,2,36,0,34,0,0,浙江省
98,湖州,2,12,0,10,0,330500,浙江省
99,金华,1,55,0,54,0,330700,浙江省
100,宁波,0,157,0,157,0,330200,浙江省
101,衢州,0,14,0,14,0,330800,浙江省
102,舟山,0,10,0,10,0,330900,浙江省
103,哈尔滨,21,198,0,173,4,230100,黑龙江省
104,绥化,5,47,0,38,4,231200,黑龙江省
105,双鸭山,4,52,0,45,3,230500,黑龙江省
106,齐齐哈尔,4,43,0,38,1,230200,黑龙江省
107,鸡西,3,46,0,43,0,230300,黑龙江省
108,大庆,3,26,0,22,1,230600,黑龙江省
109,牡丹江,2,15,0,13,0,231000,黑龙江省
110,七台河,1,17,0,16,0,230900,黑龙江省
111,黑河,1,14,0,13,0,231100,黑龙江省
112,鹤岗,1,5,0,4,0,230400,黑龙江省
113,佳木斯,0,15,0,15,0,230800,黑龙江省
114,大兴安岭,0,2,0,2,0,232700,黑龙江省
115,伊春,0,1,0,1,0,230700,黑龙江省
116,待明确地区,-7,0,0,7,0,0,黑龙江省
117,万州区,4,118,0,110,4,500101,重庆市
118,綦江区,4,23,0,19,0,500110,重庆市
119,长寿区,4,22,0,18,0,500115,重庆市
120,潼南区,4,18,0,14,0,500152,重庆市
121,江北区,3,28,0,25,0,500105,重庆市
122,奉节县,2,22,0,20,0,500236,重庆市
123,九龙坡区,2,21,0,18,1,500107,重庆市
124,两江新区,2,17,0,15,0,-1,重庆市
125,南岸区,2,15,0,13,0,500108,重庆市
126,大足区,2,14,0,12,0,500111,重庆市
127,铜梁区,2,10,0,8,0,500151,重庆市
128,丰都县,2,10,0,8,0,500230,重庆市
129,荣昌区,2,9,0,7,0,500153,重庆市
130,巴南区,2,6,0,4,0,500113,重庆市
131,云阳县,1,25,0,24,0,500235,重庆市
132,垫江县,1,20,0,19,0,500231,重庆市
133,沙坪坝区,1,9,0,8,0,500106,重庆市
134,合川区,0,23,0,23,0,500117,重庆市
135,开州区,0,21,0,20,1,500154,重庆市
136,忠县,0,21,0,21,0,500233,重庆市
137,渝中区,0,20,0,20,0,500103,重庆市
138,渝北区,0,17,0,17,0,500112,重庆市
139,石柱县,0,15,0,15,0,500240,重庆市
140,巫溪县,0,14,0,14,0,500238,重庆市
141,巫山县,0,10,0,10,0,500237,重庆市
142,璧山区,0,9,0,9,0,500120,重庆市
143,大渡口区,0,7,0,7,0,500104,重庆市
144,涪陵区,0,5,0,5,0,500102,重庆市
145,永川区,0,5,0,5,0,500118,重庆市
146,江津区,0,4,0,4,0,500116,重庆市
147,梁平区,0,4,0,4,0,500155,重庆市
148,高新区,0,4,0,4,0,0,重庆市
149,黔江区,0,2,0,2,0,500114,重庆市
150,城口县,0,2,0,2,0,500229,重庆市
151,彭水县,0,2,0,2,0,500243,重庆市
152,武隆区,0,1,0,1,0,500156,重庆市
153,秀山县,0,1,0,1,0,500241,重庆市
154,酉阳县,0,1,0,1,0,0,重庆市
155,万盛经开区,0,1,0,1,0,0,重庆市
156,待明确地区,-5,0,0,5,0,0,重庆市
157,长沙,24,242,0,216,2,430100,湖南省
158,岳阳,4,156,0,151,1,430600,湖南省
159,株洲,4,80,0,76,0,430200,湖南省
160,娄底,2,76,0,74,0,431300,湖南省
161,邵阳,1,102,0,100,1,430500,湖南省
162,常德,0,82,0,82,0,430700,湖南省
163,益阳,0,60,0,60,0,430900,湖南省
164,衡阳,0,48,0,48,0,430400,湖南省
165,永州,0,44,0,44,0,431100,湖南省
166,怀化,0,40,0,40,0,431200,湖南省
167,郴州,0,39,0,39,0,431000,湖南省
168,湘潭,0,36,0,36,0,430300,湖南省
169,湘西自治州,0,8,0,8,0,433100,湖南省
170,张家界,0,5,0,5,0,430800,湖南省
171,境外输入人员,33,33,0,0,0,0,甘肃省
172,兰州,1,36,0,33,2,620100,甘肃省
173,定西,1,9,0,8,0,621100,甘肃省
174,天水,0,12,0,12,0,620500,甘肃省
175,平凉,0,9,0,9,0,620800,甘肃省
176,甘南,0,8,0,8,0,623000,甘肃省
177,白银,0,4,0,4,0,620400,甘肃省
178,陇南,0,4,0,4,0,621200,甘肃省
179,庆阳,0,3,0,3,0,621000,甘肃省
180,临夏,0,3,0,3,0,622900,甘肃省
181,张掖,0,2,0,2,0,620700,甘肃省
182,金昌,0,1,0,1,0,620300,甘肃省
183,待明确地区,-1,0,0,1,0,0,甘肃省
184,外地来沪人员,10,111,0,100,1,-1,上海市
185,境外输入人员,4,4,0,0,0,0,上海市
186,浦东新区,3,61,0,58,0,310115,上海市
187,宝山区,3,21,0,18,0,310113,上海市
188,静安区,2,16,0,14,0,310106,上海市
189,嘉定区,2,9,0,7,0,310114,上海市
190,徐汇区,1,18,0,17,0,310104,上海市
191,黄浦区,1,6,0,5,0,310101,上海市
192,青浦区,1,6,0,5,0,310118,上海市
193,闵行区,0,19,0,19,0,310112,上海市
194,松江区,0,14,0,14,0,310117,上海市
195,长宁区,0,13,0,13,0,310105,上海市
196,普陀区,0,11,0,11,0,310107,上海市
197,杨浦区,0,9,0,9,0,310110,上海市
198,奉贤区,0,9,0,9,0,310120,上海市
199,虹口区,0,7,0,7,0,310109,上海市
200,金山区,0,4,0,4,0,310116,上海市
201,崇明区,0,4,0,4,0,310151,上海市
202,待明确地区,-3,0,0,1,2,0,上海市
203,遵义,8,32,0,24,0,520300,贵州省
204,贵阳,7,36,0,28,1,520100,贵州省
205,毕节,4,23,0,19,0,520500,贵州省
206,黔南州,1,17,0,16,0,522700,贵州省
207,六盘水,1,10,0,8,1,520200,贵州省
208,铜仁,0,10,0,10,0,520600,贵州省
209,黔东南州,0,10,0,10,0,522600,贵州省
210,安顺,0,4,0,4,0,520400,贵州省
211,黔西南州,0,4,0,4,0,522300,贵州省
212,河池,5,28,0,22,1,451200,广西壮族自治区
213,防城港,4,19,0,15,0,450600,广西壮族自治区
214,来宾,4,11,0,7,0,451300,广西壮族自治区
215,柳州,3,24,0,21,0,450200,广西壮族自治区
216,北海,2,44,0,41,1,450500,广西壮族自治区
217,南宁,1,55,0,54,0,450100,广西壮族自治区
218,桂林,1,32,0,31,0,450300,广西壮族自治区
219,玉林,0,11,0,11,0,450900,广西壮族自治区
220,钦州,0,8,0,8,0,450700,广西壮族自治区
221,贵港,0,8,0,8,0,450800,广西壮族自治区
222,梧州,0,5,0,5,0,450400,广西壮族自治区
223,贺州,0,4,0,4,0,451100,广西壮族自治区
224,百色,0,3,0,3,0,451000,广西壮族自治区
225,西安,11,120,0,108,1,610100,陕西省
226,渭南,2,15,0,13,0,610500,陕西省
227,安康,1,26,0,25,0,610900,陕西省
228,汉中,1,26,0,25,0,610700,陕西省
229,咸阳,1,17,0,16,0,610400,陕西省
230,铜川,1,8,0,7,0,610200,陕西省
231,宝鸡,0,13,0,13,0,610300,陕西省
232,延安,0,8,0,8,0,610600,陕西省
233,商洛,0,7,0,7,0,611000,陕西省
234,榆林,0,3,0,3,0,610800,陕西省
235,韩城,0,1,0,1,0,610581,陕西省
236,杨凌,0,1,0,1,0,0,陕西省
237,大连,4,19,0,15,0,210200,辽宁省
238,丹东,4,11,0,7,0,210600,辽宁省
239,沈阳,3,28,0,25,0,210100,辽宁省
240,葫芦岛,2,12,0,9,1,211400,辽宁省
241,铁岭,1,7,0,6,0,211200,辽宁省
242,朝阳,1,6,0,5,0,211300,辽宁省
243,锦州,0,12,0,12,0,210700,辽宁省
244,盘锦,0,11,0,11,0,211100,辽宁省
245,阜新,0,8,0,8,0,210900,辽宁省
246,鞍山,0,4,0,4,0,210300,辽宁省
247,本溪,0,3,0,3,0,210500,辽宁省
248,辽阳,0,3,0,3,0,211000,辽宁省
249,营口,0,1,0,1,0,210800,辽宁省
250,南昌,5,230,0,225,0,360100,江西省
251,九江,5,118,0,113,0,360400,江西省
252,上饶,1,123,0,122,0,361100,江西省
253,新余,0,130,0,130,0,360500,江西省
254,宜春,0,106,0,106,0,360900,江西省
255,赣州,0,76,0,75,1,360700,江西省
256,抚州,0,72,0,72,0,361000,江西省
257,萍乡,0,33,0,33,0,360300,江西省
258,吉安,0,22,0,22,0,360800,江西省
259,鹰潭,0,18,0,18,0,360600,江西省
260,景德镇,0,6,0,6,0,360200,江西省
261,赣江新区,0,1,0,1,0,0,江西省
262,苏州,3,87,0,84,0,320500,江苏省
263,徐州,3,79,0,76,0,320300,江苏省
264,无锡,3,55,0,52,0,320200,江苏省
265,连云港,1,48,0,47,0,320700,江苏省
266,南京,0,93,0,93,0,320100,江苏省
267,淮安,0,66,0,66,0,320800,江苏省
268,常州,0,51,0,51,0,320400,江苏省
269,南通,0,40,0,40,0,320600,江苏省
270,泰州,0,37,0,37,0,321200,江苏省
271,盐城,0,27,0,27,0,320900,江苏省
272,扬州,0,23,0,23,0,321000,江苏省
273,宿迁,0,13,0,13,0,321300,江苏省
274,镇江,0,12,0,12,0,321100,江苏省
275,晋中,4,37,0,33,0,140700,山西省
276,运城,1,19,0,18,0,140800,山西省
277,大同,1,12,0,11,0,140200,山西省
278,太原,0,20,0,20,0,140100,山西省
279,晋城,0,10,0,10,0,140500,山西省
280,长治,0,8,0,8,0,140400,山西省
281,朔州,0,8,0,8,0,140600,山西省
282,忻州,0,7,0,7,0,140900,山西省
283,吕梁,0,6,0,6,0,141100,山西省
284,阳泉,0,4,0,4,0,140300,山西省
285,临汾,0,2,0,2,0,141000,山西省
286,张家口,3,41,0,38,0,130700,河北省
287,唐山,2,58,0,55,1,130200,河北省
288,沧州,0,48,0,45,3,130900,河北省
289,保定,0,32,0,32,0,130600,河北省
290,邯郸,0,32,0,32,0,130400,河北省
291,廊坊,0,30,0,30,0,131000,河北省
292,石家庄,0,29,0,29,0,130100,河北省
293,邢台,0,23,0,22,1,130500,河北省
294,秦皇岛,0,10,0,9,1,130300,河北省
295,衡水,0,8,0,8,0,131100,河北省
296,承德,0,7,0,7,0,130800,河北省
297,银川,2,36,0,34,0,640100,宁夏回族自治区
298,吴忠,1,28,0,27,0,640300,宁夏回族自治区
299,中卫,1,4,0,3,0,640500,宁夏回族自治区
300,固原,0,5,0,5,0,640400,宁夏回族自治区
301,宁东,0,1,0,1,0,0,宁夏回族自治区
302,石嘴山,0,1,0,1,0,640200,宁夏回族自治区
303,包头,2,11,0,9,0,150200,内蒙古自治区
304,呼和浩特,1,7,0,6,0,150100,内蒙古自治区
305,乌兰察布,1,3,0,2,0,150900,内蒙古自治区
306,鄂尔多斯,0,11,0,11,0,150600,内蒙古自治区
307,赤峰,0,9,0,9,0,150400,内蒙古自治区
308,锡林郭勒盟,0,9,0,9,0,152500,内蒙古自治区
309,巴彦淖尔,0,8,0,7,1,150800,内蒙古自治区
310,通辽,0,7,0,7,0,150500,内蒙古自治区
311,呼伦贝尔,0,7,0,7,0,150700,内蒙古自治区
312,乌海市,0,2,0,2,0,150300,内蒙古自治区
313,兴安盟,0,1,0,1,0,152200,内蒙古自治区
314,儋州,2,15,0,12,1,460400,海南省
315,海口,1,39,0,38,0,460100,海南省
316,三亚,0,54,0,53,1,460200,海南省
317,万宁,0,13,0,13,0,469006,海南省
318,澄迈,0,9,0,8,1,469023,海南省
319,昌江,0,7,0,7,0,469026,海南省
320,琼海,0,6,0,5,1,469002,海南省
321,临高,0,6,0,6,0,469024,海南省
322,陵水,0,4,0,4,0,469028,海南省
323,定安,0,3,0,2,1,469021,海南省
324,文昌,0,3,0,3,0,469005,海南省
325,东方,0,3,0,2,1,469007,海南省
326,保亭,0,3,0,3,0,469029,海南省
327,乐东,0,2,0,2,0,469027,海南省
328,琼中,0,1,0,1,0,469030,海南省
329,宝坻区,2,60,0,56,2,120115,天津市
330,河北区,1,12,0,11,0,120105,天津市
331,津南区,1,2,0,1,0,120112,天津市
332,河东区,0,15,0,14,1,120102,天津市
333,北辰区,0,6,0,6,0,120113,天津市
334,南开区,0,6,0,6,0,120104,天津市
335,和平区,0,6,0,6,0,120101,天津市
336,外地来津人员,0,6,0,6,0,0,天津市
337,东丽区,0,4,0,4,0,120110,天津市
338,宁河区,0,4,0,4,0,120117,天津市
339,河西区,0,4,0,4,0,120103,天津市
340,西青区,0,4,0,4,0,120111,天津市
341,滨海新区,0,3,0,3,0,120116,天津市
342,武清区,0,2,0,2,0,120114,天津市
343,红桥区,0,2,0,2,0,120106,天津市
344,待明确地区,-1,0,0,1,0,0,天津市
345,信阳,1,274,0,271,2,411500,河南省
346,南阳,1,156,0,152,3,411300,河南省
347,周口,1,76,0,74,1,411600,河南省
348,郑州,0,157,0,152,5,410100,河南省
349,驻马店,0,139,0,139,0,411700,河南省
350,商丘,0,91,0,88,3,411400,河南省
351,平顶山,0,58,0,57,1,410400,河南省
352,新乡,0,57,0,54,3,410700,河南省
353,安阳,0,53,0,53,0,410500,河南省
354,许昌,0,39,0,38,1,411000,河南省
355,漯河,0,35,0,35,0,411100,河南省
356,焦作,0,32,0,31,1,410800,河南省
357,洛阳,0,31,0,30,1,410300,河南省
358,开封,0,26,0,26,0,410200,河南省
359,鹤壁,0,19,0,19,0,410600,河南省
360,濮阳,0,17,0,17,0,410900,河南省
361,三门峡,0,7,0,6,1,411200,河南省
362,济源,0,5,0,5,0,419001,河南省
363,曲靖,1,13,0,12,0,530300,云南省
364,德宏州,1,5,0,4,0,0,云南省
365,昆明,0,53,0,53,0,530100,云南省
366,昭通,0,25,0,25,0,530600,云南省
367,西双版纳,0,15,0,14,1,532800,云南省
368,玉溪,0,14,0,13,1,530400,云南省
369,大理州,0,13,0,13,0,0,云南省
370,红河州,0,9,0,9,0,0,云南省
371,保山,0,9,0,9,0,530500,云南省
372,丽江,0,7,0,7,0,530700,云南省
373,普洱,0,4,0,4,0,530800,云南省
374,楚雄州,0,4,0,4,0,0,云南省
375,文山州,0,2,0,2,0,0,云南省
376,临沧,0,1,0,1,0,530900,云南省
377,通化,1,6,0,5,0,220500,吉林省
378,长春,0,45,0,45,0,220100,吉林省
379,四平市,0,15,0,14,1,220300,吉林省
380,辽源,0,7,0,7,0,220400,吉林省
381,公主岭,0,6,0,6,0,220381,吉林省
